timestamp,rank,division,population_count
2025-02-06T06:17:14.408960,bronze,3,805134
2025-02-06T06:17:14.408960,silver,1,169826
2025-02-06T06:17:14.408960,silver,2,190931
2025-02-06T06:17:14.408960,silver,3,218143
2025-02-06T06:17:14.408960,gold,1,124388
2025-02-06T06:17:14.408960,gold,2,148624
2025-02-06T06:17:14.408960,gold,3,209714
2025-02-06T06:17:14.408960,platinum,1,49664
2025-02-06T06:17:14.408960,platinum,2,80851
2025-02-06T06:17:14.408960,platinum,3,139513
2025-02-06T06:17:14.408960,diamond,1,12056
2025-02-06T06:17:14.408960,diamond,2,21260
2025-02-06T06:17:14.408960,diamond,3,44556
2025-02-06T06:17:14.408960,grandmaster,1,3289
2025-02-06T06:17:14.408960,grandmaster,2,5609
2025-02-06T06:17:14.408960,grandmaster,3,13680
2025-02-06T06:17:14.408960,celestial,1,574
2025-02-06T06:17:14.408960,celestial,2,1317
2025-02-06T06:17:14.408960,celestial,3,3105
2025-02-06T06:17:14.408960,eternity,total,117
2025-02-06T06:17:14.408960,one_above_all,total,396
2025-02-06T12:22:45.461148,bronze,1,200377
2025-02-06T12:22:45.461148,bronze,2,226966
2025-02-06T12:22:45.461148,bronze,3,826987
2025-02-06T12:22:45.461148,silver,1,172786
2025-02-06T12:22:45.461148,silver,2,194534
2025-02-06T12:22:45.461148,silver,3,222370
2025-02-06T12:22:45.461148,gold,1,126754
2025-02-06T12:22:45.461148,gold,2,151359
2025-02-06T12:22:45.461148,gold,3,213596
2025-02-06T12:22:45.461148,platinum,1,51001
2025-02-06T12:22:45.461148,platinum,2,82773
2025-02-06T12:22:45.461148,platinum,3,142566
2025-02-06T12:22:45.461148,diamond,1,12527
2025-02-06T12:22:45.461148,diamond,2,22006
2025-02-06T12:22:45.461148,diamond,3,45902
2025-02-06T12:22:45.461148,grandmaster,1,3441
2025-02-06T12:22:45.461148,grandmaster,2,5796
2025-02-06T12:22:45.461148,grandmaster,3,14163
2025-02-06T12:22:45.461148,celestial,1,618
2025-02-06T12:22:45.461148,celestial,2,1323
2025-02-06T12:22:45.461148,celestial,3,3240
2025-02-06T12:22:45.461148,eternity,total,64
2025-02-06T12:22:45.461148,one_above_all,total,480
2025-02-06T18:16:05.301424,bronze,1,201131
2025-02-06T18:16:05.301424,bronze,2,227893
2025-02-06T18:16:05.301424,bronze,3,830892
2025-02-06T18:16:05.301424,silver,1,173264
2025-02-06T18:16:05.301424,silver,2,195138
2025-02-06T18:16:05.301424,silver,3,223049
2025-02-06T18:16:05.301424,gold,1,127093
2025-02-06T18:16:05.301424,gold,2,151776
2025-02-06T18:16:05.301424,gold,3,214208
2025-02-06T18:16:05.301424,platinum,1,51159
2025-02-06T18:16:05.301424,platinum,2,83058
2025-02-06T18:16:05.301424,platinum,3,142994
2025-02-06T18:16:05.301424,diamond,1,12585
2025-02-06T18:16:05.301424,diamond,2,22134
2025-02-06T18:16:05.301424,diamond,3,46091
2025-02-06T18:16:05.301424,grandmaster,1,3450
2025-02-06T18:16:05.301424,grandmaster,2,5830
2025-02-06T18:16:05.301424,grandmaster,3,14252
2025-02-06T18:16:05.301424,celestial,1,622
2025-02-06T18:16:05.301424,celestial,2,1326
2025-02-06T18:16:05.301424,celestial,3,3253
2025-02-06T18:16:05.301424,eternity,total,66
2025-02-06T18:16:05.301424,one_above_all,total,478
2025-02-07T00:56:42.575153,bronze,1,204653
2025-02-07T00:56:42.575153,bronze,2,232354
2025-02-07T00:56:42.575153,bronze,3,848697
2025-02-07T00:56:42.575153,silver,1,175947
2025-02-07T00:56:42.575153,silver,2,198206
2025-02-07T00:56:42.575153,silver,3,226848
2025-02-07T00:56:42.575153,gold,1,129198
2025-02-07T00:56:42.575153,gold,2,154212
2025-02-07T00:56:42.575153,gold,3,217661
2025-02-07T00:56:42.575153,platinum,1,52240
2025-02-07T00:56:42.575153,platinum,2,84746
2025-02-07T00:56:42.575153,platinum,3,145614
2025-02-07T00:56:42.575153,diamond,1,12952
2025-02-07T00:56:42.575153,diamond,2,22704
2025-02-07T00:56:42.575153,diamond,3,47243
2025-02-07T00:56:42.575153,grandmaster,1,3550
2025-02-07T00:56:42.575153,grandmaster,2,5994
2025-02-07T00:56:42.575153,grandmaster,3,14656
2025-02-07T00:56:42.575153,celestial,1,636
2025-02-07T00:56:42.575153,celestial,2,1368
2025-02-07T00:56:42.575153,celestial,3,3309
2025-02-07T00:56:42.575153,eternity,total,80
2025-02-07T00:56:42.575153,one_above_all,total,462
2025-02-07T06:17:03.743584,bronze,1,204653
2025-02-07T06:17:03.743584,bronze,2,232354
2025-02-07T06:17:03.743584,bronze,3,848697
2025-02-07T06:17:03.743584,silver,1,175947
2025-02-07T06:17:03.743584,silver,2,198206
2025-02-07T06:17:03.743584,silver,3,226848
2025-02-07T06:17:03.743584,gold,1,129198
2025-02-07T06:17:03.743584,gold,2,154212
2025-02-07T06:17:03.743584,gold,3,217661
2025-02-07T06:17:03.743584,platinum,1,52240
2025-02-07T06:17:03.743584,platinum,2,84746
2025-02-07T06:17:03.743584,platinum,3,145614
2025-02-07T06:17:03.743584,diamond,1,12952
2025-02-07T06:17:03.743584,diamond,2,22704
2025-02-07T06:17:03.743584,diamond,3,47243
2025-02-07T06:17:03.743584,grandmaster,1,3550
2025-02-07T06:17:03.743584,grandmaster,2,5994
2025-02-07T06:17:03.743584,grandmaster,3,14656
2025-02-07T06:17:03.743584,celestial,1,636
2025-02-07T06:17:03.743584,celestial,2,1368
2025-02-07T06:17:03.743584,celestial,3,3309
2025-02-07T06:17:03.743584,eternity,total,80
2025-02-07T06:17:03.743584,one_above_all,total,462
2025-02-07T12:21:46.502458,bronze,1,210447
2025-02-07T12:21:46.502458,bronze,2,240094
2025-02-07T12:21:46.502458,bronze,3,880938
2025-02-07T12:21:46.502458,silver,1,179897
2025-02-07T12:21:46.502458,silver,2,202994
2025-02-07T12:21:46.502458,silver,3,232736
2025-02-07T12:21:46.502458,gold,1,132059
2025-02-07T12:21:46.502458,gold,2,157642
2025-02-07T12:21:46.502458,gold,3,222670
2025-02-07T12:21:46.502458,platinum,1,53793
2025-02-07T12:21:46.502458,platinum,2,86944
2025-02-07T12:21:46.502458,platinum,3,149028
2025-02-07T12:21:46.502458,diamond,1,13379
2025-02-07T12:21:46.502458,diamond,2,23507
2025-02-07T12:21:46.502458,diamond,3,48685
2025-02-07T12:21:46.502458,grandmaster,1,3651
2025-02-07T12:21:46.502458,grandmaster,2,6198
2025-02-07T12:21:46.502458,grandmaster,3,15238
2025-02-07T12:21:46.502458,celestial,1,688
2025-02-07T12:21:46.502458,celestial,2,1395
2025-02-07T12:21:46.502458,celestial,3,3460
2025-02-07T12:21:46.502458,eternity,total,132
2025-02-07T12:21:46.502458,one_above_all,total,488
2025-02-07T18:15:57.552507,bronze,1,216663
2025-02-07T18:15:57.552507,bronze,2,248086
2025-02-07T18:15:57.552507,bronze,3,915462
2025-02-07T18:15:57.552507,silver,1,183763
2025-02-07T18:15:57.552507,silver,2,207828
2025-02-07T18:15:57.552507,silver,3,238741
2025-02-07T18:15:57.552507,gold,1,134638
2025-02-07T18:15:57.552507,gold,2,160954
2025-02-07T18:15:57.552507,gold,3,227338
2025-02-07T18:15:57.552507,platinum,1,55067
2025-02-07T18:15:57.552507,platinum,2,88891
2025-02-07T18:15:57.552507,platinum,3,152177
2025-02-07T18:15:57.552507,diamond,1,13756
2025-02-07T18:15:57.552507,diamond,2,24133
2025-02-07T18:15:57.552507,diamond,3,49959
2025-02-07T18:15:57.552507,grandmaster,1,3704
2025-02-07T18:15:57.552507,grandmaster,2,6378
2025-02-07T18:15:57.552507,grandmaster,3,15686
2025-02-07T18:15:57.552507,celestial,1,688
2025-02-07T18:15:57.552507,celestial,2,1435
2025-02-07T18:15:57.552507,celestial,3,3560
2025-02-07T18:15:57.552507,eternity,total,153
2025-02-07T18:15:57.552507,one_above_all,total,482
2025-02-08T00:54:42.284086,bronze,1,221830
2025-02-08T00:54:42.284086,bronze,2,255140
2025-02-08T00:54:42.284086,bronze,3,946564
2025-02-08T00:54:42.284086,silver,1,186872
2025-02-08T00:54:42.284086,silver,2,211759
2025-02-08T00:54:42.284086,silver,3,243832
2025-02-08T00:54:42.284086,gold,1,136605
2025-02-08T00:54:42.284086,gold,2,163504
2025-02-08T00:54:42.284086,gold,3,231181
2025-02-08T00:54:42.284086,platinum,1,56085
2025-02-08T00:54:42.284086,platinum,2,90344
2025-02-08T00:54:42.284086,platinum,3,154754
2025-02-08T00:54:42.284086,diamond,1,14067
2025-02-08T00:54:42.284086,diamond,2,24677
2025-02-08T00:54:42.284086,diamond,3,50993
2025-02-08T00:54:42.284086,grandmaster,1,3833
2025-02-08T00:54:42.284086,grandmaster,2,6544
2025-02-08T00:54:42.284086,grandmaster,3,16129
2025-02-08T00:54:42.284086,celestial,1,707
2025-02-08T00:54:42.284086,celestial,2,1460
2025-02-08T00:54:42.284086,celestial,3,3682
2025-02-08T00:54:42.284086,eternity,total,188
2025-02-08T00:54:42.284086,one_above_all,total,469
2025-02-08T06:14:36.054328,bronze,1,221830
2025-02-08T06:14:36.054328,bronze,2,255140
2025-02-08T06:14:36.054328,bronze,3,946564
2025-02-08T06:14:36.054328,silver,1,186872
2025-02-08T06:14:36.054328,silver,2,211759
2025-02-08T06:14:36.054328,silver,3,243832
2025-02-08T06:14:36.054328,gold,1,136605
2025-02-08T06:14:36.054328,gold,2,163504
2025-02-08T06:14:36.054328,gold,3,231181
2025-02-08T06:14:36.054328,platinum,1,56085
2025-02-08T06:14:36.054328,platinum,2,90344
2025-02-08T06:14:36.054328,platinum,3,154754
2025-02-08T06:14:36.054328,diamond,1,14067
2025-02-08T06:14:36.054328,diamond,2,24677
2025-02-08T06:14:36.054328,diamond,3,50993
2025-02-08T06:14:36.054328,grandmaster,1,3833
2025-02-08T06:14:36.054328,grandmaster,2,6544
2025-02-08T06:14:36.054328,grandmaster,3,16129
2025-02-08T06:14:36.054328,celestial,1,707
2025-02-08T06:14:36.054328,celestial,2,1460
2025-02-08T06:14:36.054328,celestial,3,3682
2025-02-08T06:14:36.054328,eternity,total,188
2025-02-08T06:14:36.054328,one_above_all,total,469
2025-02-08T12:19:48.390287,bronze,1,226442
2025-02-08T12:19:48.390287,bronze,2,261593
2025-02-08T12:19:48.390287,bronze,3,975779
2025-02-08T12:19:48.390287,silver,1,189645
2025-02-08T12:19:48.390287,silver,2,215317
2025-02-08T12:19:48.390287,silver,3,248352
2025-02-08T12:19:48.390287,gold,1,138346
2025-02-08T12:19:48.390287,gold,2,165686
2025-02-08T12:19:48.390287,gold,3,234493
2025-02-08T12:19:48.390287,platinum,1,56910
2025-02-08T12:19:48.390287,platinum,2,91656
2025-02-08T12:19:48.390287,platinum,3,156787
2025-02-08T12:19:48.390287,diamond,1,14497
2025-02-08T12:19:48.390287,diamond,2,25163
2025-02-08T12:19:48.390287,diamond,3,51912
2025-02-08T12:19:48.390287,grandmaster,1,3960
2025-02-08T12:19:48.390287,grandmaster,2,6753
2025-02-08T12:19:48.390287,grandmaster,3,16595
2025-02-08T12:19:48.390287,celestial,1,721
2025-02-08T12:19:48.390287,celestial,2,1477
2025-02-08T12:19:48.390287,celestial,3,3843
