match_uid,replay_id,gamemode
4891711_1738678814_1008_11001_10,10666222203,competitive
6712049_1738514673_540_11001_50,5026027186,competitive
4891270_1738675134_1199_11001_10,10484427464,competitive
6713305_1738525165_425_11001_50,5038948085,competitive
6713514_1738640803_781_11001_10,10506222546,competitive
6711746_1738523046_44_11001_50,50237811306,custom
5664990_1738516209_138_11001_50,5086367275,competitive
6712020_1738526808_47_11001_50,50449710458,custom
6713422_1738680447_244_11001_10,10631315189,competitive
6713363_1738632080_491_11001_10,10485925858,custom
4891107_1738642024_712_11001_10,10853631317,competitive
6713478_1738549859_397_11001_10,10893713458,custom
4890627_1738672377_185_11001_10,10758532799,competitive
6714120_1738638889_306_11001_10,10489417908,competitive
6714246_1738637916_114_11001_10,10479226968,competitive
6713865_1738673767_1344_11001_10,10197225763,competitive
6713848_1738639771_685_11001_10,10103134993,competitive
6711829_1738524355_258_11001_50,50492510346,custom
4891085_1738667999_977_11001_10,10130524864,competitive
6713791_1738630465_92_11001_10,10545825703,arcade
4890696_1738671422_374_11001_10,10363525517,competitive
6711828_1738513535_6_11001_50,5025258334,competitive
4891453_1738662937_512_11001_10,10548219813,competitive
6713426_1738633026_542_11001_10,10489227341,custom
6711314_1738511540_273_11001_50,5030018422,competitive
6713472_1738631177_345_11001_10,10387419298,custom
4891487_1738664777_1029_11001_10,10998925945,competitive
4891610_1738484551_337_11001_10,10464819021,competitive
4890788_1738611368_117_11001_10,10116923588,competitive
6713519_1738691546_531_11001_10,10601623983,quick-play
6714086_1738444161_571_11001_10,10786132096,arcade
6713907_1738548882_351_11001_10,10786724861,competitive
6713671_1738612227_354_11001_10,10315826840,competitive
6713353_1738690251_905_11001_10,10880121879,quick-play
6711371_1738507841_408_11001_50,5019089418,competitive
6712005_1738505375_195_11001_50,50966910027,competitive
4892610_1738660338_623_11001_10,10549729855,competitive
6714057_1738548067_676_11001_10,10716516421,custom
4891453_1738657575_411_11001_10,10827524324,competitive
6711703_1738320942_65_11001_50,5095578476,competitive
6712152_1738508633_111_11001_50,5032404592,competitive
6711704_1738168984_71_11001_50,5033717608,competitive
4890949_1738536968_500_11001_10,10590620999,quick-play
4891370_1738656878_547_11001_10,10505026114,competitive
6711902_1738507032_336_11001_50,5033669324,competitive
6714297_1738544948_665_11001_10,10954826241,custom
6711474_1738323974_5_11001_50,50968412996,competitive
6714191_1738457396_372_11001_10,10707619223,competitive
6713929_1738545817_286_11001_10,10845427420,custom
6714315_1738546756_467_11001_10,10381424533,custom
6711309_1738167286_363_11001_50,5087939843,competitive
6713646_1738609491_252_11001_10,10688627503,competitive
6713502_1738606729_62_11001_10,10866427841,competitive
6713838_1738615878_106_11001_10,10981322617,competitive
6713499_1738607698_29_11001_10,10597624754,competitive
4890914_1738283055_608_11001_10,10111230135,competitive
6713834_1738614393_92_11001_10,10251126281,competitive
4890969_1738284987_103_11001_10,10870523254,competitive
4891020_1738612832_175_11001_10,10660523020,competitive
4890911_1738282016_86_11001_10,10740315128,competitive
4891009_1738618656_345_11001_10,10474524166,competitive
6713386_1738287583_580_11001_10,10458124474,competitive
4891314_1738544353_615_11001_10,10816220546,competitive
4891567_1738543659_307_11001_10,10881517199,competitive
4891107_1738611547_34_11001_10,10695920227,competitive
4891203_1738542384_517_11001_10,10823626243,competitive
6713852_1738540124_554_11001_10,10314324606,competitive
4890802_1738537327_74_11001_10,10390926929,competitive
4890696_1738621387_1263_11001_10,10653522113,competitive
6714372_1738623791_59_11001_10,10523120761,competitive
4891249_1738620456_71_11001_10,10181718893,competitive
4891398_1738568282_1332_11001_10,10948721219,competitive
4891143_1738617042_127_11001_10,10367518844,competitive
4891624_1738635368_244_11001_10,10604222637,competitive
4890954_1738633974_101_11001_10,10772926457,competitive
4890811_1738622349_237_11001_10,10773729516,competitive
6714116_1738569158_1389_11001_10,10475324508,competitive
4892056_1738639124_272_11001_10,10495127417,competitive
6714272_1738564553_1474_11001_10,10920023533,competitive
4890944_1738567067_762_11001_10,10890316723,competitive
6714324_1738563320_827_11001_10,10689922045,competitive
6714450_1738551800_207_11001_10,10599119255,competitive
6697090_1738651190_393_11001_10,10962119053,competitive
6713972_1738619579_109_11001_10,10498329229,competitive
6713634_1738607070_217_11001_10,10490719302,competitive
6713726_1738691951_35_11001_10,10786423097,competitive
6713887_1738615139_48_11001_10,10942923379,competitive
4890975_1738614203_400_11001_10,10898923936,competitive
6713793_1738610881_88_11001_10,10637318356,competitive
4890753_1738604173_13_11001_10,10595428509,competitive
4891303_1738609617_1060_11001_10,10573315209,competitive
4891440_1738362724_102_11001_10,10511120888,competitive
4891513_1738203200_197_11001_10,10762027451,competitive
6714364_1738364135_51_11001_10,10746824714,competitive
4890863_1738685994_31_11001_10,10792724444,competitive
6713390_1738618127_51_11001_10,10937228371,competitive
4874367_1738657972_583_11001_30,3046324984,competitive
6714888_1738653297_554_11001_10,10638720899,competitive
4891167_1738204448_78_11001_10,10697822493,competitive
4890708_1738606226_29_11001_10,10280418355,competitive
4892124_1738201196_108_11001_10,10528918445,competitive
6713732_1738605579_62_11001_10,10117130809,competitive
4890916_1738202128_477_11001_10,10481819518,competitive
4890632_1738688480_130_11001_10,10996921615,competitive
4890964_1738200599_55_11001_10,10867325256,competitive
4890730_1738651627_111_11001_10,10747323722,competitive
4890691_1738604749_512_11001_10,10239228266,competitive
6697531_1738681477_590_11001_10,10399721624,competitive
4891309_1737789869_694_11001_10,10761518571,competitive
4860175_1738602563_101_11001_30,3017313295,competitive
4890687_1738603630_263_11001_10,10584321738,competitive
6715351_1738643080_394_11001_10,10958431945,competitive
4890782_1738649828_1055_11001_10,10243226869,competitive
6713651_1738642052_927_11001_10,10309722005,competitive
6697086_1738558774_244_11001_10,10203919473,competitive
4890685_1738602876_169_11001_10,10399031224,competitive
4891015_1738640586_147_11001_10,10525221909,competitive
4891664_1738599066_1138_11001_10,10424229084,competitive
6713774_1738557674_1188_11001_10,10504617542,competitive
6713642_1738554702_1201_11001_10,10824820969,competitive
6713519_1738601269_232_11001_10,10505221417,competitive
4891721_1738597817_1032_11001_10,10206124908,competitive
4860072_1738596424_325_11001_30,3040294242,competitive
6713924_1738486787_583_11001_10,10130613592,competitive
4890697_1738594649_1726_11001_10,10574225315,competitive
6713589_1738556279_221_11001_10,10394016745,competitive
4891660_1738590634_1358_11001_10,10665420605,competitive
6711470_1738483867_18_11001_50,50234211670,competitive
6697025_1738566741_34_11001_10,10206123934,competitive
6697109_1738565440_43_11001_10,10224721490,competitive
6713388_1738642862_885_11001_10,10772620726,competitive
4891671_1738559244_520_11001_10,10319030426,competitive
6713661_1738636888_551_11001_10,10128727872,custom
6697318_1738479045_697_11001_10,10386021204,competitive
4891582_1738537340_114_11001_10,10803015251,custom
4891321_1738482945_853_11001_10,10364023446,competitive
4892089_1738646683_453_11001_10,10742226917,competitive
4891092_1738661587_889_11001_10,10123026731,competitive
6697366_1738645319_95_11001_10,10299723041,quick-play
6714212_1738635464_388_11001_10,10537220139,custom
6714442_1738634461_271_11001_10,10886426330,custom
4890627_1738666112_41_11001_10,10134221327,competitive
4891594_1738557914_675_11001_10,10421523211,competitive
6697222_1738477051_167_11001_10,10552726161,competitive
4891455_1738536167_300_11001_10,10362424717,custom
6713567_1738480742_873_11001_10,10113323680,competitive
6714476_1738640875_343_11001_10,10865019601,competitive
4890800_1738475882_42_11001_10,10277320652,competitive
6713979_1738633133_436_11001_10,10806921569,custom
6713975_1738631191_46_11001_10,10420528196,custom
6714885_1738474849_206_11001_10,10663821715,competitive
6697209_1738632074_313_11001_10,10316432145,competitive
6713841_1738632271_785_11001_10,10587918051,custom
4891222_1738301322_652_11001_10,10137420731,competitive
4892089_1738473870_80_11001_10,10375317099,competitive
6715356_1738293691_256_11001_10,10658119502,competitive
4891244_1738298474_100_11001_10,10874634717,competitive
4891201_1738302890_259_11001_10,10810124712,competitive
6714029_1738297258_231_11001_10,10482218818,competitive
6713356_1738295424_69_11001_10,10608423790,competitive
4890666_1738294641_144_11001_10,10873328415,competitive
4891249_1738300144_664_11001_10,10724218281,competitive
6714885_1738658062_810_11001_10,10249022584,quick-play
4890628_1738586507_46_11001_10,10497432294,competitive
6714266_1738282557_300_11001_10,10683927101,custom
4891471_1738579712_2457_11001_10,10815516355,competitive
6714116_1738578745_1580_11001_10,10797525529,competitive
4891553_1738572522_1293_11001_10,10334022369,quick-play
6714388_1738581544_721_11001_10,10343621471,competitive
4890648_1738563553_638_11001_10,10449922600,quick-play
4891740_1738584715_950_11001_10,10446124126,competitive
4891596_1738575393_1009_11001_10,10629126858,competitive
4891105_1738562201_1399_11001_10,10149021084,quick-play
6714257_1738281783_235_11001_10,10934318636,custom
6714885_1738562822_473_11001_10,10956324772,quick-play
6713424_1738280469_294_11001_10,10744616873,custom
6713632_1738276234_692_11001_10,10284917872,competitive
4891209_1738559583_1810_11001_10,10103320814,quick-play
4890762_1738275607_234_11001_10,10828524734,competitive
6713839_1738279320_430_11001_10,10423221569,custom
6696989_1738558706_597_11001_10,10555821837,quick-play
6714216_1738557703_1411_11001_10,10959412822,quick-play
4891353_1738545581_626_11001_10,10357922047,custom
4890725_1738546447_17_11001_10,10750520754,custom
4890940_1738644818_945_11001_10,10991722633,competitive
4890836_1738544788_696_11001_10,10384724463,custom
6714293_1738563567_299_11001_10,10731623253,competitive
4891032_1738566241_1142_11001_10,10365120631,competitive
6713633_1738540258_229_11001_10,10498328961,quick-play
4891435_1738541037_635_11001_10,10507423480,quick-play
4890786_1738539357_397_11001_10,10517023025,quick-play
4891481_1738537298_261_11001_10,10638620726,custom
4891210_1738619068_70_11001_10,10531427107,competitive
4890977_1738614620_239_11001_10,10329224619,competitive
6698949_1738611816_1356_11001_10,10684526408,competitive
4890777_1738613796_432_11001_10,10636029457,competitive
