player_uid,player_name,highest_score,latest_score,matches,wins
1227179617,lordxaan,4099,4099,48,42
748417354,heezfpsTV,4529,4529,177,90
2029092471,soaphia,4666,4666,239,132
70607390,Unknown,NaN,NaN,0,0
997571994,Unknown,NaN,NaN,0,0
1022983298,Unknown,NaN,NaN,0,0
772808282,JalenMans,5039,5039,298,163
517079890,Munched,5031,5031,292,161
1522362779,Ghogert,4912,4912,413,218
188039257,vexyyy,4614,4614,225,110
1816862760,Unknown,NaN,NaN,0,0
714508350,Unknown,NaN,NaN,0,0
544745888,Unknown,NaN,NaN,0,0
1149291983,Unknown,NaN,NaN,0,0
1884560300,knyk,5027,5027,182,106
907254423,Unknown,NaN,NaN,0,0
1661989127,Unknown,NaN,NaN,0,0
942177617,Unknown,NaN,NaN,0,0
2142502169,oArtsstx,5055,5055,522,287
618534739,Unknown,NaN,NaN,0,0
993147565,Unknown,NaN,NaN,0,0
1502119500,Eush3r3,4314,4314,12,9
35411424,MADARA_EL7AMY,4270,4270,24,14
1937132687,Unknown,NaN,NaN,0,0
1551994538,realvuln,4863,4863,186,101
1231279697,possessedbyvon,4847,4847,117,68
721157448,Unknown,NaN,NaN,0,0
1499145096,Cinnabxn,4961,4961,376,221
755902868,FLM2Jouer,4875,4875,579,304
627026732,TiredOfLosingg,4845,4845,462,231
1697222511,Unknown,NaN,NaN,0,0
1132877354,dotori98,5015,5015,207,126
1861348150,Unknown,NaN,NaN,0,0
1270271686,Unknown,NaN,NaN,0,0
1526524879,CynicUK TTV,4556,4556,226,113
1299866616,Unknown,NaN,NaN,0,0
635213871,OmletteMan,4909,4909,346,196
1479845607,Dysepher,4905,4905,186,108
57199135,Amintas,4835,4835,177,101
2040846987,snarkyy1,4918,4918,179,110
2031931733,proxy2,4507,4507,156,81
131659321,KawaiiCrimson,4947,4947,296,166
373594355,moksed,4907,4907,864,454
572668385,ＨａｍBurBer,4831,4831,428,237
1513911362,Unknown,NaN,NaN,0,0
1068973218,Unknown,NaN,NaN,0,0
608807613,Unknown,NaN,NaN,0,0
480299951,Unknown,NaN,NaN,0,0
1086145954,GirthyMR,4933,4933,573,310
1009807822,Unknown,NaN,NaN,0,0
941044553,Galacticv2,4830,4830,597,326
115680870,Unknown,NaN,NaN,0,0
1536899887,Unknown,NaN,NaN,0,0
1323554119,Unknown,NaN,NaN,0,0
89276051,msmegatron,4728,4728,243,137
529118704,Brawlpro_,4391,4391,319,167
1206390793,Ghasklin,4961,4961,369,204
601447532,ȐȂŨĿ,4845,4845,294,161
639977906,donfire,3770,3770,57,39
1552299646,Jer,4979,4979,218,132
1480990728,Ezire,4934,4934,245,142
1335450933,Unknown,NaN,NaN,0,0
1562867798,Unknown,NaN,NaN,0,0
1600005899,Unknown,NaN,NaN,0,0
456714282,Unknown,NaN,NaN,0,0
1705411965,Unknown,NaN,NaN,0,0
1903024260,Blackp,4810,4810,126,75
217127710,Unknown,NaN,NaN,0,0
1961628645,Arso,5054,5054,322,181
1130889837,vMarshall,4588,4588,111,57
1310749281,DueGrub,4861,4861,320,173
161353255,3hd,4971,4971,296,159
142012946,Unknown,NaN,NaN,0,0
632645445,Unknown,NaN,NaN,0,0
480281959,Unknown,NaN,NaN,0,0
1808716969,Unknown,NaN,NaN,0,0
633845101,Unknown,NaN,NaN,0,0
894395491,floralyn,4773,4773,133,79
1726738334,nyremmE,4901,4901,306,183
1582824471,Unknown,NaN,NaN,0,0
581248065,Unknown,NaN,NaN,0,0
1470223133,Unknown,NaN,NaN,0,0
2084738033,Unknown,NaN,NaN,0,0
768746868,فففف,4913,4913,63,50
566965237,WEIXIANG TAX,4900,4900,46,37
374142430,borderIine,5060,5060,199,138
159122409,SHARTCANDY,4773,4773,177,97
1881710921,Quaynk,4896,4896,347,210
1540428539,Honenuki,4942,4942,650,349
254851973,Unknown,NaN,NaN,0,0
1034645188,Unknown,NaN,NaN,0,0
1478208388,Unknown,NaN,NaN,0,0
1700490277,Unknown,NaN,NaN,0,0
1623233411,Basong,4918,4918,451,242
764082472,Unknown,NaN,NaN,0,0
1345579222,Rigsychu,4971,4971,198,115
1933068685,Unknown,NaN,NaN,0,0
1947704698,EllumTheWise,4435,4435,276,148
1117883184,Unknown,NaN,NaN,0,0
1024658600,.fufu.,4387,4387,319,178
585342270,Unknown,NaN,NaN,0,0
61773842,Unknown,NaN,NaN,0,0
7795078,Unknown,NaN,NaN,0,0
664259862,Unknown,NaN,NaN,0,0
1071086939,Omzhh,4716,4716,165,95
111426348,LogansGirlToy,3612,3612,82,46
1375965,Among2,4963,4963,133,81
1677393157,TerrorError,5055,5055,138,84
1430390707,AnsSayaKephrii,4901,4901,151,87
1534090570,Unknown,NaN,NaN,0,0
491022279,SillyLex,4245,4245,195,121
1607460930,Unknown,NaN,NaN,0,0
1364143513,Unknown,NaN,NaN,0,0
1194296478,Unknown,NaN,NaN,0,0
1290008883,deekaddict,5019,5019,292,165
673821223,Unknown,NaN,NaN,0,0
798334866,Unknown,NaN,NaN,0,0
1555076092,Unknown,NaN,NaN,0,0
468199625,erinuntius,4401,4401,31,20
990178294,・・,4831,4831,92,58
1243028032,BBro_OW,4696,4696,78,48
1914459469,Big Fat Panda,4699,4699,310,158
263438763,Unknown,NaN,NaN,0,0
854671530,Unknown,NaN,NaN,0,0
1595301018,雷属性aon,4802,4802,607,305
1177556185,Unknown,NaN,NaN,0,0
158251757,Kumo10,3228,3228,25,12
761517366,BonzaiBuddy,3747,3747,83,45
869872651,Unknown,NaN,NaN,0,0
1042113239,CommanderGarvo,3643,3643,259,111
32275106,Hulks Pits,3379,3379,26,15
494010027,ToasterBoyy,3691,3691,145,66
1439699783,korkq,4043,4043,218,112
149522116,Unknown,NaN,NaN,0,0
1634131049,DAVEBLLUNTZ,5025,5025,610,315
723893645,Unknown,NaN,NaN,0,0
66832569,CoolClam,4398,4398,37,24
10105336,Unknown,NaN,NaN,0,0
1644480799,jumpinborders,4815,4815,164,90
277915639,latinas<3,4934,4934,150,92
1549271198,Unknown,NaN,NaN,0,0
1799828428,dinoser,5006,5006,88,64
1147737225,SalamanderSam,4679,4679,100,57
2127551855,E N D O R S I,4814,4814,50,33
878993395,Unknown,NaN,NaN,0,0
457350204,Unknown,NaN,NaN,0,0
48923578,Unknown,NaN,NaN,0,0
1941425181,Unknown,NaN,NaN,0,0
899014528,Unknown,NaN,NaN,0,0
690935741,Unknown,NaN,NaN,0,0
1393191580,Unknown,NaN,NaN,0,0
796660694,Unknown,NaN,NaN,0,0
1200611934,ChipSaOW,4917,4917,254,137
431511075,JustJoey,4913,4913,194,107
77465159,Georan,4731,4731,101,58
195825880,decapre,4965,4965,415,230
1604617154,KaputThread7,4803,4803,257,142
1426126084,Unknown,NaN,NaN,0,0
1644829839,Unknown,NaN,NaN,0,0
1517248443,Unknown,NaN,NaN,0,0
942768132,Unknown,NaN,NaN,0,0
362881330,Unknown,NaN,NaN,0,0
1679711713,Unknown,NaN,NaN,0,0
681266597,Raymomo,4855,4855,113,73
1260581355,........-,4803,4803,66,47
1986639341,Unknown,NaN,NaN,0,0
2009127014,Unknown,NaN,NaN,0,0
1691212240,Unknown,NaN,NaN,0,0
1989983454,Unknown,NaN,NaN,0,0
1748693005,Unknown,NaN,NaN,0,0
1053483342,Unknown,NaN,NaN,0,0
1465544990,Unknown,NaN,NaN,0,0
2050904442,Unknown,NaN,NaN,0,0
1900922093,Unknown,NaN,NaN,0,0
